3,0,4,
8,2,6,
1,3,2,
2,4,3,
6,5,7,
4,6,5,
7,7,∝,8
5,8,,6
0,9,0,
35,三,父,
15,上,持,
24,下,六,
41,与,春,
143,且,调,
97,世,龙,
81,业,卫,
13,个,作,
14,中,系,
10,为,运,
230,乎,太,
255,乐,武,
175,九,曾,
19,也,科,
89,书,文,
22,于,害,
84,五,机,
57,些,,三
170,交,容,
104,产,表,
224,京,各,
155,亲,,产
92,什,名,
9,他,学,
107,代,定,
139,令,知,
16,们,常,
117,任,美,
296,企,起,
241,似,联,
63,但,终,
156,住,全,
91,体,象,
32,作,军,
25,你,增,
294,依,吃,
146,保,风,
102,信,下,
297,倒,论,
131,元,特,
247,党,研,
86,入,史,
77,全,却,
158,六,解,
195,共,放,
75,关,品,
223,兴,称,
125,再,除,
258,写,费,
37,军,,气
282,农,格,
166,决,望,
252,况,设,
228,准,每,
48,分,视,
293,刘,礼,
122,则,没,
246,初,引,
87,利,显,
127,别,些,
54,动,旪,
276,包,照,
137,北,说,
169,区,五,
29,十,约,
248,半,北,
106,南,中,
303,卫,李,
148,却,飞,
253,历,玉,
115,原,转,
249,县,比,
85,及,平,
203,台,当,
161,史,程,
281,右,把,
235,吃,弟,
116,各,,济
96,合,谓,
38,同,爱,
95,名,再,
275,君,找,
216,周,共,
111,命,元,
182,品,识,
222,商,对,
18,国,色,
264,增,服,
105,声,用,
67,外,造,
267,夜,报,
12,大,长,
69,太,信,
136,夫,分,
109,女,政,
31,如,命,
180,字,夫,
43,学,企,
72,它,写,
119,官,则,
50,定,来,
61,实,非,
278,客,,下
290,害,易,
232,容,提,
291,密,深,
28,对,九,
219,导,尽,
46,将,规,
36,小,水,
120,少,现,
23,就,+,十
215,尽,啡,
274,居,将,
179,展,百,
304,岁,字,
157,市,就,
283,希,房,
154,帝,节,
100,常,进,
98,平,极,
229,广,方,
76,应,市,
103,度,乐,
135,建,帝,
56,开,目,
237,引,清,
277,弟,初,
138,张,江,
167,强,交,
39,当,新,
168,往,皆,
300,待,半,
305,律,体,
123,必,入,
266,志,种,
269,念,按,
151,思,志,
149,感,达,
80,战,手,
239,房,但,
74,手,英,
287,找,客,
62,把,领,
302,护,上,
132,报,,答
209,持,代,
295,按,住,
187,据,河,
273,推,似,
128,提,他,
159,放,见,
83,政,连,
181,故,商,
118,教,难,
113,数,随,
259,整,党,
65,文,最,
93,新,利,
33,方,兴,
270,既,,空
34,日,花,
59,明,社,
242,易,强,
308,春,级,
272,显,质,
240,曾,少,
88,最,此,
60,月,议,
186,服,,官
163,望,们,
197,朝,由,
153,期,图,
199,术,希,
71,机,屮,于
177,李,算,
141,条,农,
11,来,界,
208,极,整,
101,果,战,
286,查,目,
306,标,实,
221,根,感,
200,格,乎,
299,欲,关,
49,此,走,
171,武,夜,
196,每,小,
129,比,决,
64,民,刘,
124,气,生,
99,水,南,
204,江,如,
52,没,也,
205,河,际,
225,注,往,
201,济,包,
212,深,,与
165,清,等,
257,照,故,
218,爱,至,
227,父,及,
112,特,道,
301,玉,章,
55,现,区,
231,甚,第,
26,生,开,
30,用,动,
78,由,合,
188,界,查,
254,留,条,
130,百,据,
268,皆,保,
144,目,示,
133,直,欲,
298,省,书,
42,看,←,个
53,知,世,
292,研,县,
220,确,数,
261,示,期,
263,礼,标,
173,社,右,
45,种,依,
174,科,月,
217,称,展,
193,程,话,
152,空,你,
256,章,女,
68,第,民,
66,等,原,
289,答,间,
236,算,若,
145,管,看,
192,类,周,
142,系,日,
238,约,况,
260,级,同,
279,终,为,
147,结,律,
90,美,君,
307,群,朝,
21,而,念,
233,联,度,
27,能,,导
79,至,许,
162,色,远,
185,花,国,
210,若,推,
211,英,待,
226,虽,台,
114,表,注,
82,被,群,
70,西,觉,
51,见,根,
207,规,记,
244,视,准,
189,觉,通,
121,解,什,
183,议,张,
178,记,食,
140,许,果,
126,论,大,
176,设,思,
206,识,直,
94,话,京,
17,说,历,
234,调,,岁
284,谓,送,
184,象,能,
250,质,虽,
285,费,它,
108,走,既,
40,起,确,
251,越,阿,
194,转,被,
172,达,还,
202,运,别,
47,还,西,
44,进,而,
191,远,倒,
198,连,留,
271,送,应,
110,通,类,
213,造,越,
20,道,居,
58,长,业,
73,间,集,
262,阿,,省
265,际,教,
245,除,小,
243,随,必,
150,难,外,
214,集,任,
134,非,明,
164,领,亲,
160,风,甚,
190,飞,结,
288,食,建,
280,龙,术,
