0,9
1,3
2,4
3,0
4,6
5,8
6,5
7,7
8,2
9,_
10,_#1
11,_#2
12,_#3
13,_#4
14,_#5
15,_#6
16,_#7
17,_#8
18,_#9
19,_#10
20,_#11
21,_#12
22,_#13
23,_#14
24,_#15
25,_#16
26,_#17
27,_#18
28,_#19
29,_#20
30,_#21
31,_#22
32,_#23
33,_#24
34,_#25
35,_#26
36,_#27
37,_#28
38,_#29
39,_#30
40,_#31
41,_#32
42,_#33
43,_#34
44,_#35
45,_#36
46,_#37
47,_#38
48,_#39
49,_#40
50,_#41
51,_#42
52,_#43
53,_#44
54,_#45
55,_#46
56,_#47
57,_#48
58,_#49
59,_#50
60,_#51
61,_#52
62,_#53
63,_#54
64,_#55
65,_#56
66,_#57
67,_#58
68,_#59
69,_#60
70,_#61
71,_#62
72,_#63
73,_#64
74,_#65
75,_#66
76,_#67
77,_#68
78,_#69
79,_#70
80,_#71
81,_#72
82,_#73
83,_#74
84,_#75
85,_#76
86,_#77
87,_#78
88,_#79
89,_#80
90,_#81
91,_#82
92,_#83
93,_#84
94,_#85
95,_#86
96,_#87
97,_#88
98,_#89
99,_#90
100,_#91
101,_#92
102,_#93
103,_#94
104,_#95
105,_#96
106,_#97
107,_#98
108,_#99
109,_#100
110,_#101
111,_#102
112,_#103
113,_#104
114,_#105
115,_#106
116,_#107
117,_#108
118,_#109
119,_#110
120,_#111
121,_#112
122,_#113
123,_#114
124,_#115
125,_#116
126,_#117
127,_#118
128,_#119
129,_#120
130,_#121
131,_#122
132,_#123
133,_#124
134,_#125
135,_#126
136,_#127
137,_#128
138,_#129
139,_#130
140,_#131
141,_#132
142,_#133
143,_#134
144,_#135
145,_#136
146,_#137
147,_#138
148,_#139
149,_#140
150,_#141
151,_#142
152,_#143
153,_#144
154,_#145
155,_#146
156,_#147
157,_#148
158,_#149
159,_#150
160,_#151
161,_#152
162,_#153
163,_#154
164,_#155
165,_#156
166,_#157
167,_#158
168,_#159
169,_#160
170,_#161
171,_#162
172,_#163
173,_#164
174,_#165
175,_#166
176,_#167
177,_#168
178,_#169
179,_#170
180,_#171
181,_#172
182,_#173
183,_#174
184,_#175
185,_#176
186,_#177
187,_#178
188,_#179
189,_#180
190,_#181
191,_#182
192,_#183
193,_#184
194,_#185
195,_#186
196,_#187
197,_#188
198,_#189
199,_#190
200,_#191
201,_#192
202,_#193
203,_#194
204,_#195
205,_#196
206,_#197
207,_#198
208,_#199
209,_#200
210,_#201
211,_#202
212,_#203
213,_#204
214,_#205
215,_#206
216,_#207
217,_#208
218,_#209
219,_#210
220,_#211
221,_#212
222,_#213
223,_#214
224,_#215
225,_#216
226,_#217
227,_#218
228,_#219
229,_#220
230,_#221
231,_#222
232,_#223
233,_#224
234,_#225
235,_#226
236,_#227
237,_#228
238,_#229
239,_#230
240,_#231
241,_#232
242,_#233
243,_#234
244,_#235
245,_#236
246,_#237
247,_#238
248,_#239
249,_#240
250,_#241
251,_#242
252,_#243
253,_#244
254,_#245
255,_#246
256,_#247
257,_#248
258,_#249
259,_#250
260,_#251
261,_#252
262,_#253
263,_#254
264,_#255
265,_#256
266,_#257
267,_#258
268,_#259
269,_#260
270,_#261
271,_#262
272,_#263
273,_#264
274,_#265
275,_#266
276,_#267
277,_#268
278,_#269
279,_#270
280,_#271
281,_#272
282,_#273
283,_#274
284,_#275
285,_#276
286,_#277
287,_#278
288,_#279
289,_#280
290,_#281
291,_#282
292,_#283
293,_#284
294,_#285
295,_#286
296,_#287
297,_#288
298,_#289
299,_#290
300,_#291
301,_#292
302,_#293
303,_#294
304,_#295
305,_#296
306,_#297
307,_#298
308,_#299
